,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,nikolskoye,92.0,RU,1567899286.0,87.0,59.7,30.79,48.99,3.22
2,victoria,82.0,SC,1567899286.0,81.0,-4.62,55.45,78.53,19.98
3,aklavik,20.0,CA,1567899286.0,52.0,68.22,-135.01,68.0,9.17
4,vestmannaeyjar,100.0,IS,1567899286.0,93.0,63.44,-20.27,50.99,7.9
5,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
6,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
7,menongue,0.0,AO,1567899287.0,27.0,-14.66,17.68,58.37,6.42
8,tynda,100.0,RU,1567899101.0,98.0,55.15,124.74,49.73,5.37
9,xiaoshi,0.0,CN,1567899287.0,67.0,30.59,116.63,77.45,4.07
10,fairbanks,1.0,US,1567899190.0,28.0,64.84,-147.72,69.8,6.93
11,guerrero negro,2.0,MX,1567899287.0,82.0,27.97,-114.04,71.87,19.95
13,mahanoro,100.0,MG,1567899287.0,98.0,-19.9,48.8,60.71,3.36
14,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
15,thompson,75.0,CA,1567899288.0,59.0,55.74,-97.86,60.8,8.05
17,xichang,100.0,CN,1567899288.0,99.0,27.88,102.25,58.91,0.96
18,tuktoyaktuk,20.0,CA,1567899288.0,52.0,69.44,-133.03,66.2,12.75
19,santiago del estero,34.0,AR,1567899288.0,49.0,-27.8,-64.26,59.45,6.26
20,mildura,90.0,AU,1567899288.0,76.0,-34.18,142.16,54.0,10.29
21,leningradskiy,0.0,RU,1567899289.0,72.0,69.38,178.42,46.49,8.77
22,severo-kurilsk,100.0,RU,1567899289.0,92.0,50.68,156.12,52.07,24.65
25,saint-philippe,90.0,RE,1567899289.0,68.0,-21.36,55.77,71.6,25.28
26,norman wells,20.0,CA,1567899289.0,52.0,65.28,-126.83,66.2,10.29
27,mar del plata,22.0,AR,1567899289.0,57.0,-46.43,-67.52,45.77,5.82
28,benito juarez,96.0,MX,1567899289.0,66.0,28.64,-111.57,91.0,11.01
30,sioux lookout,75.0,CA,1567899290.0,76.0,50.1,-91.92,53.6,8.05
31,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
32,katsuura,20.0,JP,1567899290.0,83.0,33.93,134.5,84.99,8.05
33,bandarbeyla,100.0,SO,1567899290.0,59.0,9.49,50.81,77.27,29.82
34,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
36,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
37,thompson,75.0,CA,1567899288.0,59.0,55.74,-97.86,60.8,8.05
38,marystown,100.0,CA,1567899291.0,81.0,47.17,-55.16,56.03,28.41
39,barrow,1.0,US,1567899291.0,65.0,39.51,-90.4,77.0,4.43
40,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
41,shimoda,75.0,JP,1567899291.0,94.0,34.7,138.93,89.01,16.11
42,ikom,100.0,NG,1567899291.0,98.0,5.96,8.72,73.31,2.39
